EINSATZORT ID;EINSATZORT BEZEICHNUNG;EINSATZORT STRASSE;EINSATZORT PLZ
MN183760;Walldorf;Bahnhofstr. 8;69190
MN183754;Schriesheim;Wormser Str. 1;69198
MN183746;Nußloch;Westring 9;69226
MNFM100123828;Rauenberg;Dambach la Ville Str. 2g;69231
MNFM100123827;Balzfeld;Dorfstr. 22;69234
MN183713;Bammental;Industriestr.34;69245
MN183751;Schönau;In den Kreuzwiesen 10;69250
MN183717;Eberbach;Bahnhofstr. 41;69412
MNFM100123560;ZUI_Fa. Lenz_LR68, 69;Friedrichsdorfer Landstr. 38;69412
MN183762;Waldbrunn;Zum Sobertsbrunnen 10;69429
MN183724;Hemsbach;Cavaillonstr. 2;69469
MN183759;Weinheim;Cavaillon Str. 2;69469
MNFM100135263;Weinheim Großannahme;Cavallion Str 2;69469
MN183763;Wald-Michelbach;Poststr. 10;69483
MN183712;Birkenau;Im Herrengarten 31;69488
MN183744;Mörlenbach;Weinheimer Str. 7;69509
MNFM100128721;PB Firmenkunden AG;Kronenstr 7;70173
MNFM100123861;Ast Service Südwest;Jägerstr. 40;70174
MNFM100135782;Hafendörfer OHG;Heusteigstr. 35  ;70180
MNFM100002106;Stuttgart 13 (Ost);Landhausstr. 178;70188
MNFM100135373;Schwabengarage GmbH Zentrum;Hafenbahnstr. 15 ;70190
MNFM100135768;Schwabengarage GmbH Zentrum;Hafenbahnstraße 15 ;70190
FT73100000001;3672 Stuttgart 2 (Nord);Ehmannstr. 80-82;70191
MN184682;Stuttgart 1 Mitte;Wolframstr. 36;70191
MNFM100002105;Stuttgart 16 (Nord);Ehmannstr. 80-82;70191
MNFM100006117;SStp Stuttgart;Ehmannstr. 80-82;70191
MNFM100117505;WO/DO TS Stuttgart;Ehmannstr. 80-82;70191
MNFM100121637;Fahrzeugstellplatz;Ehmannstr. 80-82;70191
MNFM100122271;Depot Stuttgart 2;Ehmannstr. 80-82;70191
MNFM100126669;TS Stuttgart WO/DO;Ehmannstr. 80-82;70191
MNFM100126748;TS Koordination//Hr Mattes;Ehmannstr. 80-82;70191
MNFM100126828;TS Stuttgart TS Koordination;Ehmannstr. 80-82;70191
MNFM100136372;3680 Stuttgart 4;Ehmannstr. 80-82;70191
MNFM100136669;SNL P&P//Hr Stephan;Ehmannstr.80-82;70191
MNFM100002107;Stuttgart 14 (Botnang);Regerstr. 18;70195
MN184692;Stuttgart 60 (Untertürkheim);Augsburger Str. 380;70327
MNFM100008604;PB Firmenkunden AG;Kesslerstr. 19-21;70327
MNFM100126880;Firmenkunden;Kesselstr. 21;70327
MNFM100135437;Schwabengarage GmbH Zentrum;Hafenbahnstraße 15 ;70329
MNFM100135595;Auto-Fiegl GmbH;Hafenbahnstraße 15 ;70329
MNFM100135519;Auto-Wagner GmbH & Co. KG;Schmidener Straße 24a ;70374
DUP608-MN184;Stuttgart 40 (Zuffenhausen);Zuffenhäuser Kelterplatz 1;70435
